 8022 root      20   0   22564   6012   5260 S   0,0  0,0   0:00.00 tcpdump
 8023 root      20   0   22564   5980   5232 S   0,0  0,0   0:00.00 tcpdump
 8024 root      20   0   22564   6208   5324 S   0,0  0,0   0:00.00 tcpdump
 8025 root      20   0   22564   6264   5384 S   0,0  0,0   0:00.00 tcpdump
 7765 root      10 -10   20924   4980   4228 S   0,0  0,0   0:00.00 ovsdb-serv+
 7804 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
 7870 root      20   0   20912   5060   4280 S   0,0  0,0   0:00.02 ovsdb-serv+
 7874 root      20   0  985304 118364   8912 S   0,0  0,7   0:00.18 ovs-vswitc+
 7940 root      20   0   20912   4988   4208 S   0,0  0,0   0:00.00 ovsdb-serv+
 7944 root      20   0  985308 118368   8912 S   0,0  0,7   0:00.15 ovs-vswitc+
 8019 root      20   0   22564   6084   5332 S   0,0  0,0   0:00.00 tcpdump
 8020 root      20   0   22564   6028   5284 S   0,0  0,0   0:00.00 tcpdump
 8021 root      20   0   22564   6096   5348 S   0,0  0,0   0:00.00 tcpdump
 8022 root      20   0   22564   6012   5260 S   0,0  0,0   0:00.00 tcpdump
 8023 root      20   0   22564   5980   5232 S   0,0  0,0   0:00.00 tcpdump
 8024 root      20   0   22564   6208   5324 S   0,0  0,0   0:00.00 tcpdump
 8025 root      20   0   22564   6264   5384 S   0,0  0,0   0:00.00 tcpdump
 7874 root      20   0  985304 118364   8912 S   1,0  0,7   0:00.19 ovs-vswitc+
 7944 root      20   0  985308 118368   8912 S   1,0  0,7   0:00.16 ovs-vswitc+
 7765 root      10 -10   20924   4980   4228 S   0,0  0,0   0:00.00 ovsdb-serv+
 7804 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
 7870 root      20   0   20912   5060   4280 S   0,0  0,0   0:00.02 ovsdb-serv+
 7940 root      20   0   20912   4988   4208 S   0,0  0,0   0:00.00 ovsdb-serv+
 8019 root      20   0   22564   6084   5332 S   0,0  0,0   0:00.00 tcpdump
 8020 root      20   0   22564   6028   5284 S   0,0  0,0   0:00.00 tcpdump
 8021 root      20   0   22564   6096   5348 S   0,0  0,0   0:00.00 tcpdump
 8022 root      20   0   22564   6012   5260 S   0,0  0,0   0:00.00 tcpdump
 8023 root      20   0   22564   5980   5232 S   0,0  0,0   0:00.00 tcpdump
 8024 root      20   0   22564   6208   5324 S   0,0  0,0   0:00.00 tcpdump
 8025 root      20   0   22564   6264   5384 S   0,0  0,0   0:00.00 tcpdump
 7944 root      20   0  985420 118552   8912 S   2,9  0,7   0:00.19 ovs-vswitc+
 7874 root      20   0  985400 118528   8912 S   2,0  0,7   0:00.21 ovs-vswitc+
 7765 root      10 -10   20924   4980   4228 S   0,0  0,0   0:00.00 ovsdb-serv+
 7804 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
 7870 root      20   0   20912   5060   4280 S   0,0  0,0   0:00.02 ovsdb-serv+
 7940 root      20   0   20912   4988   4208 S   0,0  0,0   0:00.00 ovsdb-serv+
 8019 root      20   0   22564   6084   5332 S   0,0  0,0   0:00.00 tcpdump
 8020 root      20   0   22564   6028   5284 S   0,0  0,0   0:00.00 tcpdump
 8021 root      20   0   22564   6096   5348 S   0,0  0,0   0:00.00 tcpdump
 8022 root      20   0   22564   6012   5260 S   0,0  0,0   0:00.00 tcpdump
 8023 root      20   0   22564   5980   5232 S   0,0  0,0   0:00.00 tcpdump
 8024 root      20   0   22564   6208   5324 S   0,0  0,0   0:00.00 tcpdump
 8025 root      20   0   22564   6264   5384 S   0,0  0,0   0:00.00 tcpdump
 7874 root      20   0  985400 118528   8912 S   1,0  0,7   0:00.22 ovs-vswitc+
 7944 root      20   0  985420 118552   8912 S   1,0  0,7   0:00.20 ovs-vswitc+
 7765 root      10 -10   20924   4980   4228 S   0,0  0,0   0:00.00 ovsdb-serv+
 7804 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
 7870 root      20   0   20912   5060   4280 S   0,0  0,0   0:00.02 ovsdb-serv+
 7940 root      20   0   20912   4988   4208 S   0,0  0,0   0:00.00 ovsdb-serv+
 8019 root      20   0   22564   6084   5332 S   0,0  0,0   0:00.00 tcpdump
 8020 root      20   0   22564   6028   5284 S   0,0  0,0   0:00.00 tcpdump
 8021 root      20   0   22564   6096   5348 S   0,0  0,0   0:00.00 tcpdump
 8022 root      20   0   22564   6012   5260 S   0,0  0,0   0:00.00 tcpdump
 8023 root      20   0   22564   5980   5232 S   0,0  0,0   0:00.00 tcpdump
 8024 root      20   0   22564   6208   5324 S   0,0  0,0   0:00.00 tcpdump
 8025 root      20   0   22564   6264   5384 S   0,0  0,0   0:00.00 tcpdump
 7874 root      20   0  985400 118528   8912 S   1,0  0,7   0:00.23 ovs-vswitc+
 7765 root      10 -10   20924   4980   4228 S   0,0  0,0   0:00.00 ovsdb-serv+
 7804 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
 7870 root      20   0   20912   5060   4280 S   0,0  0,0   0:00.02 ovsdb-serv+
 7940 root      20   0   20912   4988   4208 S   0,0  0,0   0:00.00 ovsdb-serv+
 7944 root      20   0  985420 118552   8912 S   0,0  0,7   0:00.20 ovs-vswitc+
 8019 root      20   0   22564   6084   5332 S   0,0  0,0   0:00.00 tcpdump
 8020 root      20   0   22564   6028   5284 S   0,0  0,0   0:00.00 tcpdump
 8021 root      20   0   22564   6096   5348 S   0,0  0,0   0:00.00 tcpdump
 8022 root      20   0   22564   6012   5260 S   0,0  0,0   0:00.00 tcpdump
 8023 root      20   0   22564   5980   5232 S   0,0  0,0   0:00.00 tcpdump
 8024 root      20   0   22564   6208   5324 S   0,0  0,0   0:00.00 tcpdump
 8025 root      20   0   22564   6264   5384 S   0,0  0,0   0:00.00 tcpdump
 7944 root      20   0  985420 118552   8912 S   2,0  0,7   0:00.22 ovs-vswitc+
 7874 root      20   0  985400 118528   8912 S   1,0  0,7   0:00.24 ovs-vswitc+
 7765 root      10 -10   20924   4980   4228 S   0,0  0,0   0:00.00 ovsdb-serv+
 7804 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
 7870 root      20   0   20912   5060   4280 S   0,0  0,0   0:00.02 ovsdb-serv+
 7940 root      20   0   20912   4988   4208 S   0,0  0,0   0:00.00 ovsdb-serv+
 8019 root      20   0   22564   6084   5332 S   0,0  0,0   0:00.00 tcpdump
 8020 root      20   0   22564   6028   5284 S   0,0  0,0   0:00.00 tcpdump
 8021 root      20   0   22564   6096   5348 S   0,0  0,0   0:00.00 tcpdump
